sector_id,2017,2018,2019,2020,2021,2022,2023,max,min,correlation,new_end
1,0.3947826086956522,0.4973913043478261,0.4747826086956522,0.4939130434782608,0.4243478260869565,0.5234782608695652,0.4660869565217391,0.5234782608695652,0.3947826086956522,0.3731420699231941,Оо
2,0.8717948717948718,0.9743589743589745,0.8717948717948718,0.8974358974358975,1.0,1.0,0.9743589743589745,1.0,0.8717948717948718,0.6404898693400799,Оо
3,0.8947368421052632,0.7894736842105263,0.8421052631578947,0.5789473684210527,0.8947368421052632,0.8421052631578947,0.6842105263157895,0.8947368421052632,0.5789473684210527,-0.31052950170405946,Оз1
4,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.847457627118644,0.8983050847457628,0.8983050847457628,0.8813559322033898,0.9152542372881356,0.847457627118644,-0.30316953129541585,Оз1
5,0.978116079923882,0.8810656517602283,0.3425309229305423,0.9495718363463368,0.3748810656517602,0.2959086584205518,0.3758325404376784,0.978116079923882,0.2959086584205518,-0.7161606297531163,Оз2
6,0.0,0.0,0.0178571428571428,0.0,0.0,0.0178571428571428,0.0178571428571428,0.0178571428571428,0.0,0.5773502691896258,Смф1
7,0.6152125279642058,0.772930648769575,0.3993288590604026,0.6196868008948546,0.3702460850111856,0.3568232662192394,0.3702460850111856,0.772930648769575,0.3568232662192394,-0.7395017338690388,Ссб
8,0.1395348837209302,0.0744186046511627,0.1302325581395348,0.2,0.0837209302325581,0.2186046511627907,0.3813953488372093,0.3813953488372093,0.0744186046511627,0.7072048655862131,Оз2
9,0.6130044843049327,0.7215246636771301,0.5834080717488789,0.5780269058295964,0.5233183856502243,0.5659192825112107,0.6017937219730942,0.7215246636771301,0.5233183856502243,-0.5077349462260982,Жм
10,0.4212229052086703,0.4852798447104497,0.3982529925590424,0.4260757036557748,0.469103849886768,0.4956324813976059,0.4781624069880297,0.4956324813976059,0.3982529925590424,0.5383583493394622,Жм
11,0.8,1.0,0.8,1.0,0.8,0.8,0.9,1.0,0.8,-0.08111071056538127,Жм
12,0.3746312684365782,0.4867256637168141,0.3421828908554572,0.4218289085545723,0.4424778761061947,0.4808259587020649,0.4690265486725664,0.4867256637168141,0.3421828908554572,0.5190153670838406,Жм
13,0.04,0.08,0.0666666666666666,0.2133333333333333,0.08,0.12,0.16,0.2133333333333333,0.04,0.5796951885499027,Тзв
14,0.9951923076923076,0.9903846153846154,1.0,0.9951923076923076,0.9903846153846154,0.9951923076923076,0.971153846153846,1.0,0.971153846153846,-0.5929270612815724,Жм
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Оз1
16,0.7684210526315789,0.8894736842105263,0.7736842105263158,0.8210526315789474,0.6842105263157895,0.7526315789473684,0.7631578947368421,0.8894736842105263,0.6842105263157895,-0.4618422052117065,Оз1
17,0.1875,0.8125,0.375,0.4375,0.25,0.65625,0.78125,0.8125,0.1875,0.41148796376363717,Оз1
18,0.7567567567567568,0.8648648648648649,0.8648648648648649,0.8918918918918919,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.8918918918918919,0.7567567567567568,-0.23426064283290962,Оз2
19,0.8823529411764706,0.8235294117647058,0.6617647058823529,0.2205882352941176,0.2058823529411764,0.3235294117647059,0.3676470588235294,0.8823529411764706,0.2058823529411764,-0.8097278482944157,Тзв
20,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0454545454545454,0.0454545454545454,0.0,0.6324555320336759,Тел
21,0.1813725490196078,0.3578431372549019,0.0674019607843137,0.8921568627450981,0.9865196078431372,0.7022058823529411,0.3370098039215686,0.9865196078431372,0.0674019607843137,0.4477823221059115,Ссп
22,0.9735973597359736,0.977997799779978,0.943894389438944,0.9328932893289328,0.8932893289328933,0.9394939493949396,0.8602860286028603,0.977997799779978,0.8602860286028603,-0.8547865294931124,Жм2
23,0.4796255506607929,0.5269823788546255,0.5176211453744494,0.5187224669603524,0.5099118942731278,0.5176211453744494,0.525330396475771,0.5269823788546255,0.4796255506607929,0.5324844284091629,Жк
24,0.2743682310469314,0.2346570397111913,0.2057761732851985,0.2166064981949458,0.2563176895306859,0.2635379061371841,0.2635379061371841,0.2743682310469314,0.2057761732851985,0.22295053978868212,Жс
25,0.0232558139534883,0.0465116279069767,0.0232558139534883,0.0,0.0697674418604651,0.1162790697674418,0.0697674418604651,0.1162790697674418,0.0,0.6444022325288268,Оо
26,0.1855670103092783,0.8762886597938144,0.3402061855670103,0.4484536082474227,0.4690721649484536,0.9381443298969072,0.7835051546391752,0.9381443298969072,0.1855670103092783,0.5468630830457307,Смф2
27,0.3898573692551506,0.8042789223454834,0.4278922345483359,0.4595879556259905,0.6188589540412044,0.7282091917591125,0.7931854199683043,0.8042789223454834,0.3898573692551506,0.5424687174107132,Смф2
28,0.125,0.4375,0.5625,0.25,0.75,0.5,0.75,0.75,0.125,0.7156282175958393,Тзв
29,0.8504854368932039,0.8411003236245954,0.6961165048543689,0.7893203883495146,0.8194174757281554,0.8572815533980582,0.9249190938511328,0.9249190938511328,0.6961165048543689,0.4145361557793282,Зп
30,0.4684684684684684,0.6126126126126126,0.5675675675675675,0.6396396396396397,0.6486486486486487,0.6486486486486487,0.6756756756756757,0.6756756756756757,0.4684684684684684,0.8452522190185577,Зп
31,0.7903225806451613,0.775089605734767,0.6460573476702509,0.6854838709677419,0.7921146953405018,0.807347670250896,0.8754480286738351,0.8754480286738351,0.6460573476702509,0.464743866946365,Зп
