sector_id,2017,2018,2019,2020,2021,2022,2023,max,min,correlation
1,0.936127744510978,0.908183632734531,0.8542914171656687,0.7684630738522954,0.8303393213572854,0.846307385229541,0.780439121756487,0.936127744510978,0.7684630738522954,-0.7725925347854468
2,0.2777777777777778,0.2777777777777778,0.0,0.0,0.0,0.0555555555555555,0.0555555555555555,0.2777777777777778,0.0,-0.6741998624632424
3,0.3725490196078431,0.3431372549019608,0.196078431372549,0.0196078431372549,0.1568627450980392,0.1862745098039215,0.1764705882352941,0.3725490196078431,0.0196078431372549,-0.6098957919003217
4,0.7368421052631579,0.631578947368421,0.8421052631578947,0.7368421052631579,0.8421052631578947,0.5789473684210527,0.4210526315789473,0.8421052631578947,0.4210526315789473,-0.5345224838248487
5,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,-0.6123724356957946
6,0.2352941176470588,0.0588235294117647,0.0,0.0,0.0,0.0588235294117647,0.0,0.2352941176470588,0.0,-0.632455532033676
7,0.1948051948051948,0.1818181818181818,0.2077922077922078,0.1558441558441558,0.1948051948051948,0.1948051948051948,0.1948051948051948,0.2077922077922078,0.1558441558441558,0.0606339062590831
8,0.2777777777777778,0.2777777777777778,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.3888888888888889,0.5555555555555556,0.2777777777777778,0.3608439182435161
9,0.5555555555555556,0.4700854700854701,0.4444444444444444,0.282051282051282,0.5299145299145299,0.6239316239316239,0.5641025641025641,0.6239316239316239,0.282051282051282,0.2893790496476895
10,0.9818181818181818,0.9818181818181818,0.9636363636363636,0.8909090909090909,0.990909090909091,0.7090909090909091,0.9181818181818182,0.990909090909091,0.7090909090909091,-0.5475066211445146
11,0.3984962406015037,0.4586466165413533,0.3834586466165413,0.3759398496240601,0.3082706766917293,0.3609022556390977,0.225563909774436,0.4586466165413533,0.225563909774436,-0.8243475095904925
12,0.5454545454545454,0.6363636363636364,0.1818181818181818,0.1818181818181818,0.5454545454545454,0.3636363636363636,0.7272727272727273,0.7272727272727273,0.1818181818181818,0.12964074471043294
13,0.986449864498645,0.9878048780487804,0.981029810298103,0.8794037940379403,0.9878048780487804,0.9539295392953928,0.975609756097561,0.9878048780487804,0.8794037940379403,-0.1830451239358476
14,0.8636363636363636,0.6818181818181818,0.6818181818181818,0.0909090909090909,0.1818181818181818,0.3181818181818182,0.1818181818181818,0.8636363636363636,0.0909090909090909,-0.822440992292917
15,0.967741935483871,0.9032258064516128,0.7419354838709677,0.8387096774193549,0.8064516129032258,0.7096774193548387,0.8387096774193549,0.967741935483871,0.7096774193548387,-0.6168493695012486
16,0.9613601236476044,0.9675425038639875,0.9180834621329212,0.7913446676970634,0.910355486862442,0.8979907264296755,0.678516228748068,0.9675425038639875,0.678516228748068,-0.7363352440975061
17,0.8064516129032258,0.7741935483870968,0.6451612903225806,0.7419354838709677,0.7741935483870968,0.7419354838709677,0.6451612903225806,0.8064516129032258,0.6451612903225806,-0.5075647261379695
18,0.9507735583684952,0.9601500234411628,0.9367088607594936,0.7749648382559775,0.9226441631504922,0.8438818565400844,0.86685419596812,0.9601500234411628,0.7749648382559775,-0.5662766117926847
19,0.9838449111470112,0.9507269789983844,0.901453957996769,0.8618739903069467,0.9297253634894992,0.9523424878836834,0.8885298869143781,0.9838449111470112,0.8618739903069467,-0.46360439957070015
20,0.2621359223300971,0.2135922330097087,0.2087378640776699,0.1262135922330097,0.1844660194174757,0.2184466019417475,0.0970873786407767,0.2621359223300971,0.0970873786407767,-0.6880550755679171
21,0.4533333333333333,0.4266666666666667,0.3733333333333333,0.4266666666666667,0.48,0.48,0.3866666666666666,0.48,0.3733333333333333,0.02445579940222557
22,0.6714285714285714,0.6571428571428571,0.5285714285714286,0.5428571428571428,0.5571428571428572,0.4285714285714285,0.6,0.6714285714285714,0.4285714285714285,-0.5970880039885598
23,0.7373737373737373,0.7070707070707071,0.5555555555555556,0.404040404040404,0.3535353535353535,0.3939393939393939,0.3838383838383838,0.7373737373737373,0.3535353535353535,-0.8993711307308044
24,0.5348837209302325,0.2790697674418604,0.2093023255813953,0.0930232558139534,0.2790697674418604,0.3255813953488372,0.3488372093023256,0.5348837209302325,0.0930232558139534,-0.22524954950135134
25,0.4629629629629629,0.4074074074074074,0.2407407407407407,0.0925925925925925,0.4259259259259259,0.3888888888888889,0.1666666666666666,0.4629629629629629,0.0925925925925925,-0.39574874764270246
